T2 times in s
date,q0,q1,q2,q3,q4
2020-12-02,0.0000651489,0.0000449183,0.0000652080,0.0000358104,0.0001429096
2020-12-01,0.0000631090,0.0000424684,0.0000676004,0.0000401263,0.0000970186
2020-11-30,0.0000428837,0.0000467036,0.0000693781,0.0000481990,0.0000770847
2020-11-29,0.0000627663,0.0000436491,0.0000846485,0.0000501237,0.0001278368
2020-11-28,0.0000649940,0.0000380107,0.0000642897,0.0000337015,0.0001798293
2020-11-27,0.0000554983,0.0000488040,0.0000556143,0.0000465441,0.0000735692
2020-11-26,0.0000624193,0.0000395976,0.0000780436,0.0000482554,0.0001504739
2020-11-25,no data,0.0000508343,0.0000620771,0.0000405327,0.0000825191
2020-11-24,0.0000529718,0.0000490187,0.0000689387,0.0000460039,0.0001288589
2020-11-23,0.0000468416,0.0000407736,0.0000639284,0.0000443450,0.0001217283
2020-11-22,0.0000658435,0.0000333683,0.0000639001,0.0000458601,0.0001260344
2020-11-21,no data,no data,no data,no data,no data
2020-11-20,0.0000476233,0.0000198376,0.0000779420,0.0000464487,0.0001395951
2020-11-19,0.0000593340,0.0000428159,0.0000651589,0.0000465462,0.0001319588
2020-11-18,0.0000611518,0.0000399079,0.0000784289,0.0000488183,0.0000861674
2020-11-17,0.0000634508,0.0000429506,0.0000651753,0.0000481951,0.0001393793
2020-11-16,0.0000659506,0.0000412474,0.0000680309,0.0000393653,0.0001024156
2020-11-15,0.0000613453,0.0000426408,0.0000802758,0.0000462459,0.0001175304
2020-11-14,0.0000583753,0.0000455174,0.0000769001,0.0000418826,0.0000896073
2020-11-13,0.0000583542,0.0000427015,0.0000413734,0.0000403890,0.0000815009
2020-11-12,0.0000217372,0.0000399877,0.0000542899,0.0000749990,0.0001236581
2020-11-11,0.0000655825,0.0000352965,0.0000505527,0.0000542119,0.0001036850
2020-11-10,0.0000584453,0.0000481271,0.0000703699,0.0000617931,0.0001430749
2020-11-09,0.0000599721,0.0000400362,0.0000532450,0.0000655013,0.0000783249
2020-11-08,0.0000658802,0.0000263972,0.0000510323,0.0000546780,0.0001204809
2020-11-07,0.0000649361,0.0000448396,0.0000514931,0.0000480933,0.0001337679
2020-11-06,0.0000660687,0.0000519482,0.0000499778,0.0000489374,0.0001019582
2020-11-05,0.0000623968,0.0000403973,0.0000559997,0.0000414398,0.0001396806
2020-11-04,0.0000605101,0.0000381517,0.0000733657,0.0000429052,0.0000561621
2020-11-03,0.0000616002,0.0000356037,0.0000529914,0.0000428419,0.0001301828
2020-11-02,no data,0.0000320496,0.0000613166,0.0000397088,0.0001027313
2020-11-01,0.0000553968,0.0000418011,0.0000734663,0.0000430984,0.0001569161
2020-10-31,0.0000572030,0.0000355814,0.0000543636,0.0000391920,0.0001299018
2020-10-30,0.0000678107,0.0000420164,0.0000541930,0.0000473307,0.0001203558
2020-10-29,0.0000665093,0.0000378792,0.0000282191,0.0000429874,0.0001252850
2020-10-28,0.0000457100,0.0000471022,0.0000502463,0.0000506345,0.0001252668
2020-10-27,0.0000517145,0.0000378589,0.0000544073,0.0000448563,0.0000980057
2020-10-26,0.0000670068,0.0000397079,0.0000452752,0.0000388735,0.0001230525
2020-10-25,0.0000605351,0.0000436349,0.0000670085,0.0000490276,0.0001313367
2020-10-24,0.0000717926,0.0000412234,0.0000677240,0.0000447227,0.0000989769
2020-10-23,0.0000646895,0.0000401819,0.0000614723,0.0000436519,0.0001097878
2020-10-22,0.0000598327,0.0000352912,0.0000603965,0.0000435439,0.0000534279
2020-10-21,0.0000652825,0.0000357350,0.0000732311,0.0000460949,0.0001170456
2020-10-20,0.0000460172,0.0000408031,0.0000705961,0.0000475527,0.0001170578
2020-10-19,0.0000496078,0.0000473980,0.0000678758,0.0000467817,0.0000987042
2020-10-18,0.0000633486,0.0000412188,0.0000423807,0.0000472727,0.0000962402
2020-10-17,0.0000734848,0.0000443541,0.0000745235,0.0000429319,0.0001073022
2020-10-16,0.0000676090,0.0000405706,0.0000826754,0.0000421489,0.0001144880
2020-10-15,0.0000687662,0.0000452468,0.0000732260,0.0000452687,0.0001168917
2020-10-14,0.0000585343,0.0000413321,0.0000791630,0.0000471617,0.0001046574
2020-10-13,0.0000595029,0.0000588638,0.0000664197,0.0000392218,0.0001382855
2020-10-12,0.0000741637,0.0000522851,0.0000448489,0.0000521299,0.0001203456
2020-10-11,0.0000666805,0.0000517562,0.0000554544,0.0000545325,0.0001290057
2020-10-10,0.0000700470,0.0000520644,0.0000607644,0.0000397974,0.0001662868
2020-10-09,0.0000601725,0.0000578751,0.0000490623,0.0000572672,0.0001187902
2020-10-08,0.0000658668,0.0000516364,0.0000598594,0.0000400156,0.0001316840
2020-10-07,0.0000635071,0.0000447389,0.0000418512,0.0000529923,0.0000553123
