CNOT error rate
date,(0,1),(1,0),(1,2),(1,3),(2,1),(3,1),(3,4),(4,3)
2020-10-19,0.0077200493,0.0077200493,0.0102502624,0.0123812574,0.0102502624,0.0123812574,0.0219335615,0.0219335615
2020-10-18,0.0067786404,0.0067786404,0.0082791988,0.0121782890,0.0082791988,0.0121782890,0.0187773060,0.0187773060
2020-10-17,0.0068506019,0.0068506019,0.0093458415,0.0121180973,0.0093458415,0.0121180973,0.0275511290,0.0275511290
2020-10-16,0.0071000087,0.0071000087,0.0118168768,0.0249494144,0.0118168768,0.0249494144,0.0145427831,0.0145427831
2020-10-15,0.0082156018,0.0082156018,0.0122966747,0.0129767268,0.0122966747,0.0129767268,0.0115087211,0.0115087211
2020-10-14,0.0079227994,0.0079227994,0.0118554660,0.0120885001,0.0118554660,0.0120885001,0.0099079805,0.0099079805
2020-10-13,0.0067239270,0.0067239270,0.0122563189,0.0120649901,0.0122563189,0.0120649901,0.0106029023,0.0106029023
2020-10-12,0.0068170953,0.0068170953,0.0131490280,0.0131182102,0.0131490280,0.0131182102,0.0110708675,0.0110708675
2020-10-11,0.0069485344,0.0069485344,0.0139568580,0.0108945460,0.0139568580,0.0108945460,0.0084637671,0.0084637671
2020-10-10,0.0070031100,0.0070031100,0.0145040937,0.0116631569,0.0145040937,0.0116631569,0.0122601719,0.0122601719
2020-10-09,0.0079243351,0.0079243351,0.0145783853,0.0122966799,0.0145783853,0.0122966799,0.0153438518,0.0153438518
2020-10-08,0.0067732432,0.0067732432,0.0127515218,0.0121377479,0.0127515218,0.0121377479,0.0124848108,0.0124848108
2020-10-07,0.0073905026,0.0073905026,0.0141436410,0.0108678080,0.0141436410,0.0108678080,0.0135995808,0.0135995808
