T1 times in s
date,q0,q1,q2,q3,q4
2020-12-02,no data,no data,no data,no data,no data
2020-12-01,0.0000466832,0.0000663312,0.0000421954,0.0000417615,0.0000912079
2020-11-30,0.0000732526,0.0000843712,0.0001004187,0.0000897541,0.0001069316
2020-11-29,0.0000393933,0.0000600274,0.0000826701,0.0000987555,0.0001097820
2020-11-28,0.0000753136,0.0000370077,0.0000945709,0.0000715086,0.0001016554
2020-11-27,0.0000648329,0.0000316834,0.0001034085,0.0000501598,0.0000875886
2020-11-26,no data,no data,no data,no data,no data
2020-11-25,0.0000863776,0.0000564456,0.0000891100,0.0001068937,0.0000674268
2020-11-24,0.0000872319,0.0000804383,0.0000902754,0.0001100479,0.0000715846
2020-11-23,0.0000431835,0.0000739235,0.0000649902,0.0001314209,0.0000663050
2020-11-22,0.0000885624,0.0000515253,0.0000420943,0.0000996902,0.0000591023
2020-11-21,0.0000910315,0.0000671579,0.0001038805,0.0000925077,0.0000880109
2020-11-20,0.0000841290,0.0000556407,0.0000688039,0.0001033585,0.0000707234
2020-11-19,no data,0.0000608195,0.0000883540,0.0001125551,0.0000771697
2020-11-18,0.0000869848,0.0000458552,0.0001062654,0.0001081774,0.0000797511
2020-11-17,0.0000681448,0.0000412043,0.0000752939,0.0001113671,no data
2020-11-16,0.0000440241,0.0000489985,0.0001078542,no data,no data
2020-11-15,0.0000711289,0.0000570394,0.0001026513,0.0000785304,0.0000777565
2020-11-14,0.0000593962,0.0000495999,0.0000743671,0.0001189876,no data
2020-11-13,0.0000317819,0.0000661267,0.0000968632,0.0000841629,0.0000543689
2020-11-12,0.0000608667,0.0000463607,0.0000875380,0.0001006913,0.0001104495
2020-11-11,0.0000727540,0.0000379332,no data,0.0001060140,0.0000627242
2020-11-10,0.0000969742,0.0000250300,no data,0.0001321331,0.0000492709
2020-11-09,0.0000743846,0.0000396079,0.0000885935,0.0000940922,0.0000750047
2020-11-08,no data,0.0000414849,0.0000867175,0.0001312610,0.0000680374
2020-11-07,0.0000818610,0.0000649486,0.0000471878,0.0000812132,0.0000778112
2020-11-06,0.0000549301,0.0000721420,0.0000355285,no data,0.0000673903
2020-11-05,0.0000958443,0.0000512530,0.0000581081,0.0000683382,0.0000677203
2020-11-04,0.0000958312,0.0000713618,0.0001013846,0.0000611762,0.0000408627
2020-11-03,0.0000969809,0.0000678542,0.0000939718,0.0001072284,0.0000623205
2020-11-02,0.0000669333,0.0000531112,0.0000423136,0.0000868864,0.0000978993
2020-11-01,0.0000871734,0.0000631616,0.0000507647,0.0000804425,0.0000491406
2020-10-31,0.0000946272,0.0000548395,0.0000878763,0.0001139173,0.0000537455
2020-10-30,0.0000935891,0.0000688230,0.0000906148,no data,0.0000762582
2020-10-29,0.0000859321,0.0000536703,0.0000623710,0.0001012333,0.0000721222
2020-10-28,0.0000711556,0.0000744538,0.0000713735,0.0001471408,0.0000946394
2020-10-27,0.0000730137,0.0000612290,0.0000838481,0.0000807441,0.0000865486
2020-10-26,0.0000775410,0.0000506276,0.0000814753,0.0001143689,0.0000622561
2020-10-25,0.0000705807,0.0000596908,0.0000981086,0.0000923662,0.0000691207
2020-10-24,0.0000928472,0.0000674530,0.0000802341,0.0001175345,0.0000729957
2020-10-23,no data,0.0000725465,0.0000870689,0.0001250790,0.0000401558
2020-10-22,0.0000729086,0.0000465362,0.0000819843,no data,0.0000580651
2020-10-21,0.0000852330,0.0000729252,0.0001050232,0.0001078908,0.0000682996
2020-10-20,0.0000859184,0.0000706555,0.0000935934,0.0000446757,0.0000574411
2020-10-19,0.0000747568,0.0000457092,0.0000579363,0.0000748053,0.0000718165
2020-10-18,0.0000679350,0.0000713607,0.0000583586,0.0000893037,0.0000772041
2020-10-17,0.0000884357,0.0000786924,0.0000749947,0.0000790785,0.0000672552
2020-10-16,0.0000915848,0.0000820510,0.0000594413,0.0000675674,0.0000579895
2020-10-15,0.0000736632,0.0000596885,0.0000568650,0.0000778050,0.0000692608
2020-10-14,no data,0.0000578621,0.0000913512,0.0001239411,0.0000706993
2020-10-13,0.0000852580,0.0000766592,0.0000760920,0.0000898010,0.0000848491
2020-10-12,0.0000920826,0.0000685915,0.0001209661,0.0001578567,0.0000499580
2020-10-11,0.0000926489,0.0000512440,0.0000846164,0.0001095686,0.0001094871
2020-10-10,0.0000631069,0.0000632578,0.0000898086,0.0001339977,0.0000834788
2020-10-09,0.0000734855,0.0000516666,0.0000547748,0.0000875234,0.0000908019
2020-10-08,0.0000729324,0.0000385606,0.0000442715,0.0001110701,0.0000687358
2020-10-07,0.0000670357,0.0000816989,no data,0.0001228804,0.0000911350
